ref_no,hist_ref_no
50199,48012
50204,46010
50288,48980
50339,42167
50413,50295
50444,50458
50449,47075
50703,50702
50705,50704
50725,44249
50739,50738
50773,50772
50793,50792
50807,50806
50932,39633
51192,51191
51341,39593
51560,51041
52022,52021
52096,50975
52209,44931
7498,50158
7725,49894
11270,50538
12869,49928
18254,50168
20197,48416
37441,49491
40489,38907
40514,27181
40746,38948
40810,24350
41122,39758
41451,39383
42077,42076
42251,42020
42980,42384
43002,42405
43026,12402
43091,1231
43247,20809
43442,32971
43457,42772
43474,1890
43714,43709
43722,40318
43726,40318
43739,41690
43771,18335
43775,26282
43863,50808
43902,50832
44092,50965
44095,43950
44177,51025
44298,43389
44327,24676
44486,28257
44575,44522
44616,43218
44617,43565
44630,43221
44703,43661
44726,40008
44741,21391
44748,22601
44787,42618
44818,42955
44834,40551
44869,13876
44955,41518
45004,41294
45005,42125
45041,41876
45084,41927
45291,39803
45388,40954
45476,43999
45515,44872
45617,43012
45653,41847
45706,41183
45723,41189
45741,24044
45758,41416
45762,41215
45780,44577
45830,45232
45834,41357
45855,41021
45887,41779
45965,26157
46044,43302
46178,32813
46355,37914
46367,23502
46452,41277
46479,22119
46625,39889
46647,40101
46776,10499
46822,25675
46957,41576
47021,40199
47076,42900
47116,44687
47133,44716
47137,44731
47225,44323
47356,47263
47442,44825
47621,45402
47631,44534
47664,41963
47673,42755
47756,40188
47759,41982
47794,47222
47801,41085
47831,41087
47836,41065
48051,41696
48072,40360
48338,45281
48570,45805
48769,47378
48784,47230
48798,48161
48806,46492
48813,45847
48840,45850
48905,47352
48961,45117
49259,47934
49357,41493
49371,48074
49575,40445
49590,49204
49600,47120
49730,45309
50045,44720
50176,47034
50295,49789
50354,43843
50403,21290
50444,50470
50462,47074
50753,50349
51065,49137
51087,51086
51123,51122
51138,39412
51147,51146
51170,39437
51177,51176
51191,51190
51228,51227
51266,51265
51300,51299
51312,50412
51521,39533
52099,50695
52107,51248
52134,47700
52147,48526
52178,51439
7451,40979
15054,49075
31986,48422
34477,48239
35067,16632
39632,31316
40605,12883
40830,37989
41444,50670
41689,28668
41728,39267
41864,3089
41870,40329
41931,37056
