ref_no,hist_ref_no
41521,39116
41525,22977
41945,8465
42016,13880
42323,21604
42395,5690
42460,42321
42634,42709
42866,49956
42870,9565
42995,42398
43000,42403
43211,38976
43246,20321
43279,43184
43285,43097
43346,43160
43425,22818
43502,24892
43578,38994
43657,40638
43720,40312
43741,42090
43832,23093
43916,43915
43950,51339
43953,43386
43956,39945
44045,51403
44079,42213
44173,44174
44252,44251
44310,43388
44365,40123
44533,42477
44545,42700
44624,43219
44660,43800
44672,42491
44690,40053
44690,43677
44735,41634
44810,42954
44952,11057
44965,41535
44976,41527
45033,41868
45040,43594
45074,41916
45128,39773
45206,41762
45213,41734
45337,41617
45374,40953
45386,42869
45457,43992
45624,42982
45670,41138
45677,41124
45835,41025
45841,39296
45986,43446
46016,42512
46050,43310
46082,52162
46128,45791
46165,1688
46298,42022
46353,18971
46387,39911
46396,42251
46460,17368
46462,42595
46484,41261
46541,44594
46571,43504
46675,39904
46690,40528
46734,40118
46805,40857
46870,41154
46896,41170
46897,44525
46961,41577
47038,40208
47232,44456
47329,44453
47713,42750
47806,8120
47834,41089
47845,42661
47940,42728
47955,14497
48057,29398
48058,29632
48346,48307
48435,46490
48555,45565
48631,46443
48654,46448
48680,46457
48690,46462
48713,46467
48747,46474
48867,46508
48881,45622
48884,47337
48906,45624
48944,47259
49182,47997
49191,42655
49197,46002
49322,43728
49345,49115
49363,46798
49432,48726
49506,48314
49551,43718
49566,49329
49573,40443
49689,48915
49728,45282
50004,47681
50018,42559
50122,49442
50241,49672
50301,50306
50304,49347
50314,50059
50349,42224
50442,50464
50557,50556
50640,50639
50801,43837
51073,50992
51081,51080
51115,51114
51125,51124
51149,51148
51155,51154
51183,51182
51194,12314
51204,51203
51230,51229
51234,51233
51296,41432
51302,51301
52145,47729
1008,48394
3986,49307
8702,50143
23350,48399
27348,49466
36427,48428
36474,49886
40278,309
40524,35023
40891,30905
40971,1620
41448,50671
41535,18801
42152,50677
42389,6177
42562,6245
42573,4246
43158,31568
43179,40599
43359,43170
43416,42788
43450,42804
43593,41863
43672,29262
43706,14792
43776,26863
43804,40302
43986,18203
43992,23639
44033,42879
44054,50904
44055,52199
44107,44106
44124,30513
44126,41883
44240,28449
44296,41766
44337,40936
44426,40601
44456,40730
44585,43207
44647,43585
44666,42280
44718,44719
44720,13294
44750,44150
44848,42636
44871,42842
45039,41874
45057,41898
45092,41937
45185,39800
45324,4951
45394,40956
45395,40039
45487,44003
45557,43521
45739,41111
45831,40390
45890,41351
45935,43411
45937,43412
45946,43419
45954,43425
45975,43440
45977,42112
46020,44336
46052,43312
46097,43365
46101,43351
46134,45899
46155,45210
46232,39881
46255,39985
46398,42252
46420,1664
46448,41276
46492,40407
46509,42602
46531,42609
46556,46147
46601,40794
46643,40100
46699,40513
46756,1271
46762,2306
46786,40847
46803,40876
46902,41173
46950,41556
46971,25563
46974,40470
47017,41601
47090,42583
47192,44421
47195,44313
47289,40273
47709,40179
47781,46159
47783,47181
47858,46852
47885,41386
47901,40154
48053,28682
48062,41410
48071,43759
48104,38491
48300,48259
48501,45797
48509,46419
48640,45811
48678,45818
48721,45831
48816,45612
49192,48103
49374,46829
49377,46875
49423,47300
49436,48531
50008,47420
50083,48940
50216,17197
50444,50471
50499,50388
50500,46949
50602,50601
50644,39606
50820,39477
50834,43884
50953,31222
50970,50969
50972,52204
51004,51003
51012,51011
51016,39432
51038,51037
51077,50559
51375,51374
51377,51376
51435,51434
51449,39526
51496,39659
51559,51018
52191,44658
52216,45975
7451,40978
17088,49475
17480,49931
18032,49496
40277,291
40367,7674
40664,15999
40708,38919
40734,38937
40812,25845
41732,18574
41882,13300
41938,7237
42017,19960
42065,41811
42068,41187
42828,26996
43022,41379
43151,26049
43173,37827
43356,43167
43360,43171
43430,23623
43674,40661
43675,38102
44010,49082
44073,51347
44138,17909
44144,44128
44185,44183
44224,44223
44235,43966
44255,43039
44483,44484
44544,42692
44665,42279
44681,41625
44754,24129
44778,42611
44801,33790
44859,40558
44935,42649
44957,41292
45031,41867
45139,12320
45160,41895
45173,39792
45207,39807
45501,43983
45719,41188
45740,41112
45754,41211
45790,42065
46007,42121
46123,41813
46127,41804
46129,41810
46176,31456
46660,40110
46681,42244
46746,40051
46821,25495
46860,7996
46875,15103
46901,32651
46915,41547
47084,42548
47118,46569
47135,46144
47174,44305
47248,44465
47270,45184
47306,46181
47397,47114
47466,44914
47501,40036
47544,47543
47559,29172
47707,15113
47720,41323
47863,45652
47937,11572
48037,43743
48265,14837
48313,47772
48403,48405
48621,47195
48627,47196
48637,46444
48644,45871
48780,46484
48908,46523
48926,46529
48951,46535
48973,45116
49169,47449
49252,48008
49470,25942
49578,42496
49586,42290
49642,43068
49647,49437
50024,49864
50217,32674
50343,42231
50389,46911
50495,50498
50509,46334
50621,39500
50853,50852
50875,50874
50883,50882
50943,50942
50995,43895
51290,22114
51410,39366
52158,52157
52211,47922
6999,51579
39434,51071
40286,2175
40332,40331
40546,11124
40603,12326
40764,40763
41540,39126
42020,36356
42335,35070
42384,40705
42443,41822
42469,42329
42480,42362
42563,15704
42892,40918
43110,8077
43717,43709
43731,40313
43748,40128
43755,40143
43759,40150
43793,39014
44192,52197
44211,43701
44249,39431
44336,38140
44425,40600
44452,40724
44517,39973
44638,43226
44673,42493
44721,40058
44725,43680
44841,42634
44855,42637
44864,40563
44893,42646
44993,35837
45058,41899
45091,41936
45130,41718
45186,39801
45211,41911
45223,39948
45238,44212
45262,43806
45294,43359
45321,4237
45480,44002
45564,42997
45586,42414
45603,43006
45622,42991
45663,41096
45718,42068
45919,43402
45932,43410
45944,42105
45945,43418
45953,43424
45967,42110
45978,42113
46102,43364
46113,22140
46116,33363
46133,41797
46405,40029
46446,42605
46463,40684
46506,29126
46535,41237
46560,41653
46567,46559
46619,40801
46634,40098
46949,41609
47000,42818
47275,45580
47316,39933
47382,12891
47385,46725
47470,44924
47598,40664
47689,42822
47768,43500
47772,47398
47872,41672
47878,44566
47886,41387
47992,40079
48003,40355
48006,22952
48056,29392
48122,44551
48292,48294
48318,46148
48323,47266
48434,46469
48696,46464
48797,45846
48804,47362
48913,47863
49214,47897
49240,46152
49263,48016
49434,48844
49552,43719
49644,49207
49681,46328
49831,48824
50088,49719
50200,46061
50246,48023
50290,49196
50331,39651
50443,50452
50491,42966
50556,50554
50615,50614
50639,50638
50641,50640
50643,39598
50729,42209
50824,50823
51003,51002
51011,51010
51037,51036
51041,51040
51243,17089
51333,39592
51342,51341
51347,42182
51402,51401
9993,49399
22637,49490
23150,49902
24028,40671
37651,48423
40292,38901
40296,39011
40376,40375
40712,40711
40757,23518
40772,20929
40920,33706
40936,38240
41213,32618
41527,39109
41625,1037
41660,40771
42070,41824
42077,41821
42086,40127
42446,41098
42466,42326
42966,42941
43065,628
43087,229
43322,43133
43355,43166
43542,38966
43603,4111
43700,40769
43703,40925
43721,43709
43732,2374
43854,39504
43884,42147
43998,40896
44123,40891
44205,44107
44280,40025
44411,40288
44419,40372
44547,42693
44640,43581
44729,43666
44745,40063
44860,40559
44990,41539
45133,41721
45174,39793
45284,43799
45453,44004
45561,42411
45574,42977
45600,42993
45793,41808
45920,43403
46000,42120
46077,43339
46141,45898
46188,40221
46401,42248
46406,46407
46429,41268
46528,41242
46545,40615
46818,46406
46833,40481
46861,41150
46874,42270
46883,41162
46938,41608
47077,41587
47094,42585
47173,44304
47181,44419
47286,40272
47295,42534
47305,46180
47398,47115
47401,45267
47402,47197
47453,44843
47475,47377
47679,41970
47705,43721
47746,42752
47849,44339
47898,40077
47909,40341
48314,47773
48341,47603
48639,47200
48665,45872
48670,45890
48681,45819
48835,47792
49227,45479
49266,47983
49373,46755
49389,47007
49425,48780
49518,48753
49601,46551
49752,42683
49818,47880
49819,46597
49849,47376
50020,42940
50049,48740
50095,47367
50099,48443
50208,46339
50487,49836
50525,48799
50564,50332
50622,49638
50666,41430
50841,43930
50849,43898
50854,50853
50876,50875
50884,50883
50910,50909
50914,50913
50921,44195
51352,39609
51469,51468
51505,51504
52011,49669
8127,8062
14787,48216
24219,43508
39453,50793
39651,50568
40299,4438
40718,38926
40720,38928
40919,32850
40925,35839
41710,39837
41917,28546
42445,40391
42826,42760
42999,42402
43086,137
43245,20110
43259,40728
43547,9050
43555,16554
43601,240
43653,40653
43724,40321
43780,40152
43839,50821
43881,50825
43933,43848
43946,50902
44150,43682
44319,41767
44438,40708
44445,40715
44454,43259
44560,42698
44562,43533
44643,43228
44708,9683
44770,43684
44862,40561
44872,14826
44874,42844
44881,19013
44975,41298
45022,41859
45052,41889
45077,41920
45149,39785
45209,41763
45249,43281
45297,43362
45509,43247
45517,44864
45554,42987
45572,43007
45583,43010
45696,41139
45707,41102
45801,41339
45822,41787
45859,41788
46057,43318
46068,43331
46089,43353
46126,41802
46162,45860
46246,39982
46387,42250
46418,1612
46555,45082
46587,40253
46602,40258
46658,42245
46796,40621
47193,46563
47333,44459
47407,44680
47615,46361
47656,43607
47675,5419
47704,41976
47740,42767
47918,42821
47983,43771
48011,42898
48084,35849
48135,46300
48259,47846
48290,47748
48364,44681
48402,48403
48500,48163
48518,45557
48592,47187
48597,45641
48679,46456
48699,47154
48700,47211
48815,45876
48964,47604
49223,47938
49379,46880
49501,47875
49692,49266
49859,48760
50030,49852
50044,44746
50234,50079
50292,48315
50498,46978
50522,48621
50584,50105
50697,50696
50765,50764
50799,50798
50809,43863
50856,43883
50923,44196
50967,39646
51062,39446
51130,6136
51200,51199
51215,42208
51420,39382
52089,42489
52167,45464
161,49481
1554,40544
5382,48458
5786,49478
16817,50147
17018,48412
22731,49963
39460,50602
39469,42212
40287,40286
40592,40474
40604,38911
40740,38942
40885,28593
41229,2242
41382,7237
42308,38982
42331,31366
42459,42320
42489,42373
42825,42759
42843,49897
42863,3549
42996,42399
43212,38977
43232,38241
43249,38302
43327,43138
43395,42775
43548,40539
43586,39204
43658,40639
43684,40658
43746,40294
43779,40151
43799,40815
43895,42142
44111,42575
44157,37912
44221,44220
44229,44228
44318,18226
44471,40745
44550,42701
44567,43197
44675,44
44687,40001
44689,43676
44758,43690
44761,43671
44824,43034
44922,40589
44927,35987
44966,41534
45006,1383
45071,41914
45094,41893
45180,39798
45199,35975
45222,12257
45236,44211
45283,24675
45416,40961
45426,40966
45505,42525
45642,41856
45757,42069
45860,40393
46064,43326
46096,43363
46131,41819
46271,33379
46301,42023
46336,14274
46407,11898
46461,42594
46478,42597
46604,40796
46674,40521
46680,40121
46740,39893
46743,23502
46781,11809
46981,41583
47015,40207
47045,46575
47156,44292
47201,44429
47213,44318
47227,44449
47447,44830
47498,24126
47581,43605
47591,16819
47617,46374
47632,44534
47799,41077
47866,45689
48005,40171
48019,23338
48558,47856
48565,47316
48572,46433
48614,45808
48718,45830
48748,46475
48843,47334
48886,45623
48892,47476
48936,45862
48969,43602
49111,41477
49189,47936
49333,46947
49512,42557
49525,47304
49539,49326
49570,40442
49616,48734
49690,48953
50061,48568
50373,41461
50393,49440
50399,50278
50558,50557
50588,39420
50803,50354
50932,5486
51082,51081
51126,51125
51150,51149
51156,51155
51263,51262
51299,41433
51301,51300
51323,51322
51520,39530
52105,51077
52195,43936
4609,50218
12529,52153
20917,48406
24759,40544
29008,49939
36092,48246
40736,38939
40763,19897
40826,33252
40983,5864
41378,17994
41719,39842
41746,39851
41868,40307
41872,7231
41874,40369
41943,40932
42014,722
42083,39755
42234,50785
42428,11030
42471,42331
43128,18237
43248,20812
43358,43169
43388,9084
43403,39248
43429,42793
43676,40640
43727,40316
43812,40887
43896,42132
43978,40548
43985,17603
44000,37346
44032,42876
44093,44094
44170,51391
44329,40816
44359,43024
44521,43330
44713,43662
44737,18400
44744,41635
44797,42624
44811,43674
44891,42644
44905,23638
44925,42678
45038,41873
45266,43817
45313,1467
45314,1488
45399,40909
45428,41623
45472,42886
45576,43002
45604,41840
45685,39746
45695,41137
45705,14557
45759,41116
45792,41796
45836,41029
45852,41784
45955,43426
45980,42115
46062,43324
46072,43334
46207,39918
46208,8064
46320,8219
46343,44151
46428,5558
46477,41262
46514,33261
46525,36368
46548,40933
46600,40793
46655,40508
46698,40514
46775,40841
46830,40865
46903,41174
47350,47243
47433,44805
47531,47530
47540,16085
47626,45781
47699,40191
47741,41979
47789,47210
47923,9113
47984,42719
47990,40169
48001,40353
48010,23052
48089,36952
48339,45283
48376,47782
48433,46784
48562,45566
48598,46438
48675,45817
48714,45827
48758,45837
48894,46518
49231,48041
49258,48082
49264,48076
49375,46789
49383,47005
49591,49206
49611,46150
49648,49390
49743,9102
49817,42567
50052,45429
50056,49678
50127,50030
50174,44132
50192,47610
50198,47964
50289,49677
50360,43877
50446,47089
50459,47097
50490,42943
50494,50492
50673,50672
50800,39402
50963,43932
51009,51008
51039,51038
51093,39368
51100,44035
51152,51151
51414,51413
51433,44165
4582,43476
9468,43506
16700,48188
19864,49933
28557,3233
35302,48388
39413,42199
39416,50585
39519,50625
40276,288
40714,38923
40735,38938
40762,39032
40981,49873
40996,7957
41508,26872
41510,41509
41859,511
41863,2174
41894,19150
41910,39007
41919,29422
41937,38385
41946,41939
42226,50771
42464,42324
42485,42368
42560,33943
43150,25863
43168,35823
43324,43135
43353,43164
43389,40291
43427,23086
43534,38954
43543,39177
43629,40335
43660,8210
43730,40323
43787,43732
43878,50819
43967,40297
44037,51091
44065,38533
44075,42222
44109,42170
44196,44200
44226,23126
44244,44205
44258,41377
44351,43070
44470,43953
44475,40748
44523,43539
44551,42482
44561,41652
44642,43583
44655,42913
44676,44122
44731,40010
44747,43669
44762,40066
44858,40557
44889,44143
44950,41516
45019,41312
45086,41930
45156,40754
45276,43036
45380,43972
45432,43978
45443,44483
45568,42979
45577,42429
45628,43014
45683,41128
45712,17017
45730,41108
45846,41023
45914,43399
45927,42099
45998,43456
46075,43337
46206,7498
46339,42035
46369,23998
46412,46346
46470,41285
46537,41239
46561,41656
46771,40635
46795,40479
46835,40483
46873,41204
46881,41160
46936,41551
46959,41559
47034,41605
47109,45033
47249,44466
47254,44334
47296,46171
47392,46726
47396,47113
47409,44691
47434,44810
47451,44841
47499,31976
47516,2706
47735,41327
47825,41074
47854,45252
47912,43747
47942,40167
47959,40157
48029,41397
48304,44515
48327,42374
48337,48311
48490,46414
48495,45552
48601,45571
48668,45816
48706,45873
48927,46530
49216,47916
49267,47903
49527,46149
49528,49324
49558,40433
49643,43071
49669,48349
49677,49435
49755,49258
49846,46000
49863,42945
50012,48441
50039,44964
50067,46549
50175,47028
50301,50302
50335,41431
50392,50087
50460,47094
50502,46960
50874,50873
50916,50915
50942,50941
51172,44250
51298,39553
51358,39611
51501,51500
51507,51506
51555,38533
51574,52112
52157,39585
52180,44261
52210,47921
9557,49302
13605,43053
17575,48413
33096,52175
40290,2413
40541,10790
40661,39347
40722,38930
40896,32669
40930,36753
40970,737
41907,24591
42197,50717
42393,143
42997,42400
43088,907
43093,2075
43136,21680
43138,22446
43207,40370
43411,42784
43579,29118
43605,24805
43673,40657
43722,40323
43726,40323
43837,50800
43889,50828
43970,40330
44099,42176
44156,39989
44186,51366
44223,11850
44254,39674
44272,9761
44285,42891
44443,40713
44473,40747
44584,43544
44601,43554
44610,43560
44645,43230
44652,43589
44707,40056
44716,40005
44796,42623
44842,42959
44846,42674
44910,40584
44968,41532
45054,41891
45100,41918
45176,24264
45208,37937
45232,41017
45323,40902
45347,41619
45356,14330
45438,43981
45468,43995
45649,41853
45728,41107
45815,41782
45924,43406
46029,43286
46091,43355
46234,18324
46261,39926
46327,11469
46347,42839
46610,40263
46669,40515
46764,40838
46793,40850
46852,42268
46938,41553
47048,40412
47154,44437
47211,44438
47378,47229
47633,44539
47650,45923
47672,43713
47715,42826
47884,40153
47911,6928
47924,40344
48029,40083
48092,41398
48292,48327
48368,44734
48428,48429
48785,45843
48801,48435
48856,47240
48878,46511
48925,45778
48937,45654
49209,47905
49221,48046
49356,48805
49361,46929
49529,40438
49572,49322
49685,48605
49725,45309
49815,44626
49836,46831
49850,48959
49858,49721
50048,47839
50281,43069
50343,50729
50358,43874
50458,47080
50526,48671
50577,41458
50699,50698
50767,50766
50797,50796
50959,44083
51005,41425
51064,39559
51128,51127
51136,44049
51313,49431
51326,39576
51329,42223
5856,48219
17333,49946
19777,49484
25244,48400
27362,47404
30318,49408
32171,43693
36641,48414
39217,49892
39569,43078
40285,40284
40301,4551
40738,38940
40758,26073
40893,32085
40918,39003
41654,6247
41656,6844
41675,18493
41702,9546
41716,6934
41876,10099
42074,41852
42319,12514
42478,42360
42484,42367
42824,42749
42968,40380
42994,42397
43083,39789
43109,40374
43228,40921
43325,43136
43550,13412
43656,40637
43760,34333
44090,3070
44189,44188
44263,42569
44267,41115
44276,41922
44440,40710
44609,43559
44734,41633
44751,22824
44752,43651
44856,42961
44909,40583
44946,41288
45014,28659
45018,41306
45069,41912
45178,39796
45231,31482
45247,43279
45258,39772
45275,43809
45282,24108
45422,40963
45423,39967
45424,40964
45445,43987
45671,11535
45731,22020
45766,41218
45773,41118
45799,41337
45842,41794
45972,43437
46055,43316
46307,42027
46325,10497
46364,42044
46386,42056
46394,35992
46421,41265
46766,39685
46906,41205
46964,41578
47009,41597
47018,40194
47028,41602
47108,45011
47158,44294
47230,44326
47445,44828
47458,44854
47519,3840
47592,44353
47684,40176
47725,40182
47743,41980
47761,38280
47874,42520
47902,40337
47999,43774
48025,40174
48286,42511
48331,47299
48355,48318
48374,48260
48535,46423
48545,47170
48691,47877
48716,45828
48729,46472
48756,46478
48766,47227
48771,46480
48885,47338
48903,45858
48942,45632
49100,40428
49167,47445
49183,47998
49186,42652
49229,47961
49298,46851
49392,47033
49547,49100
49550,43717
49568,40440
49679,49505
50193,44709
50235,50080
50312,45271
50443,50449
50482,48528
50603,39460
50685,39647
50748,42220
50835,50367
51026,44177
51084,51083
51118,44160
51184,39449
51188,51187
51235,51234
51269,51268
51291,51290
51303,51302
51344,51343
52149,50012
2045,40669
24046,19035
29262,49910
39410,50576
40283,996
40434,18066
40542,40543
40565,12135
40725,38931
40742,38944
40998,37599
41011,41659
41431,50667
41505,17938
41653,6121
41883,14227
41933,37566
41939,17237
42085,2355
42183,50708
42534,40808
42871,49961
42998,42401
43070,40920
43149,39102
43280,43092
43299,43111
43337,43147
43347,43157
43387,37971
43412,42785
43491,39273
43500,24802
43710,43708
43725,40322
43770,40140
43910,43879
43913,43866
44031,42870
44139,20278
44177,51536
44181,4367
44290,15412
44326,43832
44349,40707
44362,42565
44480,41654
44558,42366
44587,43545
44782,42614
44789,44121
44795,42622
44799,42640
44863,40562
44884,44259
44894,40575
45053,41890
45136,41722
45280,23443
45296,43361
45298,39808
45345,10973
45467,43994
45745,41201
45856,34307
45876,42066
45899,41814
45991,43451
46030,43287
46056,43317
46087,43349
46173,18301
46236,40236
46269,39928
46345,17644
46467,41283
46493,40689
46590,40254
46646,10843
46750,23998
46767,40839
46819,24674
46867,40845
46937,41552
46999,40540
47013,40195
47040,40215
47198,45222
47273,44869
47335,44333
47427,44795
47716,42827
47876,45822
48025,40160
48026,40082
48175,43627
48397,48398
48446,48445
48652,45814
48692,45590
48727,47219
48786,46486
48877,46510
48979,48749
49196,47939
49255,47889
49382,46856
49491,49492
49719,43601
50016,45494
50072,24232
50107,48291
50110,47108
50344,42198
50347,44207
50414,46979
50444,47073
50503,46966
50540,43914
50586,50374
50591,45900
50610,39494
50615,50621
50637,39586
50700,50699
50710,50709
50833,43903
51182,42177
51304,51303
51472,51471
52100,51078
9773,49915
14059,50151
24497,48393
24998,48396
36087,50229
36816,50148
39636,42230
40375,8503
40606,12888
40711,18606
40733,38904
40811,25576
40927,36054
40935,37931
41529,19859
41712,5285
41751,39853
41753,28663
42081,40159
42388,38734
42498,41487
42873,14117
42875,22574
42993,42396
43213,38978
43287,43099
43326,43137
43401,42779
43420,42771
43576,38992
43717,40322
43730,14911
43743,40147
43747,42086
43756,40146
43778,40148
43835,43043
43948,43947
43965,209
44049,6459
44070,51210
44110,42572
44142,37628
44163,50770
44168,51260
44171,44172
44270,366
44323,40779
44348,44219
44632,43576
44654,43231
44924,42964
44967,41533
45024,44491
45070,41913
45109,39765
45155,39787
45204,41760
45272,43808
45340,39963
45355,43965
45442,43986
45519,44937
45534,13446
45558,42415
45655,41091
45679,41126
45720,38874
45796,41336
45868,41344
45950,43422
45971,43436
45984,43444
46040,43298
46048,43308
46067,44520
46240,39920
46261,39987
46333,14059
46453,40402
46510,41249
46599,40257
46645,40501
46735,39907
46773,40626
46854,41146
46868,40873
46888,41166
47032,40203
47105,46330
47112,45039
47142,44756
47239,45224
47274,44920
47312,44410
47367,45332
47446,44829
47671,43712
47680,41971
47693,41320
47726,40183
47951,43751
48113,45269
48291,48290
48316,45072
48332,47298
48520,47159
48550,47171
48566,46431
48600,45642
48625,46441
48658,47788
48730,46473
48755,45835
48759,46479
48891,45855
48929,45628
48963,48341
49115,48669
49159,47465
49180,47974
49188,47962
49329,40439
49362,49123
49519,48595
49521,46385
49589,46571
49613,48380
49805,47305
50006,49176
50009,47753
50011,47456
50041,44724
50114,45270
50130,46222
50202,45120
50308,47054
50369,44053
50444,50466
50559,50558
50858,43938
50891,43933
50913,44091
51113,51112
51127,51126
51151,39439
51153,51152
51181,51180
51187,51186
51202,51201
51236,51235
51240,43854
51292,51291
51322,39574
51527,41447
52103,51487
52136,46808
52144,47973
52220,48618
860,48218
7650,49763
13769,13772
40369,7744
40698,38916
40829,40828
41542,35081
41717,7505
41906,24185
41944,40883
42087,40129
42324,21757
42327,39700
42456,42317
42497,40809
42856,49983
43016,43516
43020,42556
43038,6993
43081,41512
43096,40290
43135,40776
43174,40935
43357,43168
43683,30582
43720,40317
43758,40149
43796,40768
43843,43842
43933,43949
43962,24561
43969,5297
43997,29555
44060,498
44094,50966
44105,44104
44109,42157
44109,42164
44162,44164
44309,9063
44321,20709
44325,40780
44338,41657
44413,40300
44477,43952
44663,42277
44714,43663
44785,42617
44793,44792
44798,42625
44831,42632
44840,42633
44892,42645
44906,25627
45016,32401
45026,41862
45082,44275
45217,41748
45219,45102
45335,40904
45342,39964
45353,39965
45552,42417
45635,42985
45722,20332
45781,44642
45844,23109
45949,42106
45956,43427
45962,42109
45979,42114
46149,45088
46445,44273
46454,41278
46495,41255
46570,43691
46589,40789
46633,40492
46806,40632
46809,22992
46829,40864
46912,40451
46921,41570
47257,44335
47280,50926
47285,44715
47503,39906
47625,45780
47681,43714
47686,41972
47754,43730
47819,41083
47838,41066
47916,40342
47938,43766
48030,24910
48070,40089
48096,44238
48099,40365
48139,47639
48157,46470
48507,46417
48757,45836
48796,45845
48945,45633
48949,48343
48952,47354
48965,47777
49107,40429
49121,46833
49268,48063
49346,48890
49427,48759
49588,48346
49674,48375
50051,45421
50091,45905
50098,48106
50201,46062
50383,49648
50395,50185
50484,49639
50489,42942
50506,49793
50582,49589
50608,39484
50614,50613
50638,50637
50674,41462
50822,43839
50976,44046
51002,51001
51010,51009
51036,39490
51040,44182
51044,51043
51070,51069
51109,39395
51185,11913
51345,51344
51373,51372
51379,51378
51413,51412
52152,2774
52160,43076
52165,47884
10454,50214
14360,50152
14395,48431
16863,50163
20426,48269
21065,50408
35584,50569
36415,49974
40577,22165
40713,38922
40727,38932
40753,18313
40975,945
40986,7456
41766,2093
41888,16771
41940,40700
42436,37098
42904,40472
43069,31434
43323,43134
43328,43139
43354,43165
43409,39257
43452,34868
43536,39176
43716,40317
43836,50799
43869,50811
43904,43872
43914,50539
43974,7487
44041,51329
44079,51284
44098,11955
44137,15805
44162,42226
44228,16867
44257,43041
44441,40980
44557,42697
44579,43205
44641,43582
44649,43587
44659,43794
44857,40556
44913,42852
44942,41286
45175,41749
45352,40905
45404,40958
45435,43979
45541,36231
45684,41129
45711,41185
45861,36805
45875,41359
46092,44268
46158,44915
46168,7451
46169,13869
46190,39875
46196,39876
46263,40244
46326,11051
46436,41273
46496,41254
46529,41241
46649,40102
46882,41161
46904,41175
46939,41573
46952,41610
46956,41558
46973,41580
47007,40211
47033,41604
47055,34724
47117,44712
47144,44769
47202,44314
47240,44283
47244,44461
47634,44557
47921,43749
47941,40166
47950,41679
48060,30854
48095,44239
48348,46694
48370,47609
48382,45111
48493,46415
48523,45866
48556,47172
48609,45644
48677,47208
48723,48434
48834,45849
49130,46723
49190,48078
49226,45386
49428,48924
49438,46196
49513,46317
49609,45144
49795,48783
49853,48557
50014,49751
50086,46679
50275,36577
50284,43067
50327,3265
50334,39556
50346,42211
50350,42234
50411,50395
50467,47072
50472,47087
50501,46952
50574,41450
50711,23175
50821,50820
50843,50842
50873,50872
50881,50880
50903,42236
50911,50910
50941,50940
51120,5452
51275,19801
51357,39610
51395,37381
51517,41445
51532,51531
52077,50310
52221,48035
5269,48245
6814,50534
18324,50160
22562,48389
27822,49407
31481,50566
35230,50378
37251,48446
37374,45244
39368,51092
39436,50594
40061,22984
40311,5787
40818,27509
40899,32809
40976,40975
41539,39110
41688,27996
41705,33127
41708,39836
41730,39848
41846,10220
42124,41521
42191,50713
42243,39909
42306,38970
42425,37363
42426,11178
42492,42379
42887,49973
42975,42469
42987,42390
43163,40982
43223,38993
43277,43089
43300,43109
43313,43124
43368,43179
43415,42787
43510,43008
43605,40542
43791,40606
43854,43906
43940,50858
44047,51137
44186,51365
44514,44139
44538,42689
44614,43563
44755,40012
44759,43670
44876,42845
44897,40580
44954,41291
44983,41300
45103,41935
45170,41744
45261,43790
45310,41614
45451,22731
45709,41103
45746,41203
45911,4614
46002,43459
46080,43342
46137,41818
46181,37047
46210,39974
46214,39878
46252,40239
46273,44156
46285,40251
46330,42016
46389,39912
46464,41281
46513,40409
46617,40267
46782,40624
46850,41143
46859,44524
46907,41567
46972,41563
47031,40201
47066,41488
47074,2001
47102,42555
47111,45044
47129,44695
47222,46564
47336,44409
47394,47103
47399,46556
47465,44908
47589,26394
47687,39954
47727,41324
47868,44536
47888,1358
47900,4846
47966,42079
48133,46049
48371,44758
48542,47168
48561,47865
48610,47318
48616,45574
48734,45647
48900,45651
48980,48914
49069,47858
49160,47474
49445,44939
49546,40427
49572,49321
49612,45149
49631,44537
49672,46326
49820,42975
49857,49812
50069,49600
50332,31481
50351,50789
50402,50278
50453,47101
50531,48521
50656,39629
50739,50732
50774,44162
50868,43944
50901,50900
51038,51047
51264,18886
51424,51423
51438,50053
51487,42008
51514,51513
51533,39644
51536,42173
51556,51555
11420,50189
18159,50524
23164,49903
31477,50165
32085,40894
32171,43694
37374,30797
37728,48427
39648,44066
39702,49923
40334,6828
40381,9362
40525,35869
40542,10998
40542,40544
40699,16648
40737,26499
40823,40822
40895,32337
40972,1686
41206,49918
41729,39847
41861,1613
42184,50710
42556,30441
42979,42383
43005,42426
43303,43114
43334,43145
43449,42803
43513,43512
43584,39000
43628,6120
43725,40312
43854,51242
43863,43862
43901,50831
43931,50841
44573,43201
44625,43219
44635,43578
44851,7292
44853,7725
44875,40570
44903,23150
44947,39702
45007,3152
45013,41302
45148,39783
45154,18025
45182,39799
45268,43807
45334,41034
45375,41036
45391,41040
45393,40955
45407,43976
45597,42430
45623,41829
45640,41857
45644,41846
45689,41132
45821,41354
45858,40392
45882,41341
45904,43395
45973,42111
45993,42118
46036,43293
46247,39922
46248,39983
46350,39687
46564,44445
46640,40099
46676,40520
46745,42250
46843,33476
46900,42275
46945,41555
46979,41564
47079,42547
47177,39934
47357,14629
47372,45401
47411,44778
47734,42766
47745,42768
47895,42724
48017,40080
48106,40090
48147,48148
48366,47363
48510,46420
48623,45577
48656,47203
48752,46477
48820,46496
48826,47241
48849,45851
48888,46514
48904,45879
48938,45863
49220,44897
49324,40434
49378,46903
49429,48837
49503,47657
49532,49105
49564,40437
49729,45282
49798,48640
50054,42562
50180,49801
50340,42175
50343,42214
50394,49809
